id,text
49,"BAGUS ROGER (Rocky Gerung)!!!. Kalau saya jauh lebih dahsyat lagi, saya robek2, saya injek2, dan saya bakar itu jaket.

Pendukung AMIN adalah Islan sesat, pembohong, maling tereak maling dan nyari duit doang. Mereka gak berjuang buat islam kok, tapi buat partai.

Pertanyaan Anies Baswedan kepada capres lain banyak pertanyaan titipan tuh. Temen2 nya orang GILA. Maka ati2 sama Anies.

Kasian Anis, jadi corong orang GILA, lebih kasian lagi cak Imin, dia orang polos& baik. Dia gak sadar masanya diambil sama Anies dan kelompoknya. Kasiaaan. Tinggalin tu si Anies dan orang GILA di belakangnya.

Rakyat Indonesia, ati2 sama Anies, dia tipe penghianat. Lihat saja AHY ditinggalin gitu aja. Nau bukti apa lagi woiii......buka mata kalian!!!."
50,"Seandainya anies jd presiden, liat sja nanti rocky psti akn kritik beliau, rocky pemikirnny macm gw 😂
Bedany rocky ga mau d sogok
Klw gw bisa d bicarakn 🤣tpi klw pilihn gw dh, jd ttp gw kritik 😂🤣"
51,"aku sedih sekali aku diserang sama temen ku tapi dia gak peduli😭
aku pun Susah ngurusin nya dia kelas 4 kata nya aku kelas 1 aku kelas 6"
52,mana ava aku bacon pula😭😭😭😭
53,Bolehkah aku meminta Robux mu 😢🙏
54,"Bang, abang gen sigma ya?
Bang mau tanya abang skibidi g?
Abang sigma ya?"
55,"Ga penting karakter2 kaya gini, ribet amat mau alpha beta sigma. Ga penting, ga bikin pinter juga, malah jadi ga jelas dan belaga2an"
56,Baru tau aku ad d sigma lgi 😂 mna pas lagi sma yg d sampaikn pembawa 😊 mksih krna sdh membari tau 😮
57,Aku lelaki SIGMAAAA🥶🥶
58,"Aku adalah alpha
Dan alpha adalah aku 🐺🐺"
59,Skibidu sigma ohio gyat rizz😅😎😎💀
60,Ampar ampar sigmaewing ku belum kripto giat sebiji diurung skibidi mangga giat mangga giat giatnya dimakam sigma sigmanya per ohio sigmanya per ohio
61,aku skibidi banggg
62,Gua mah sigma😎
63,Aku Sigma 🐺auuuuuuggghhhhhh
64,Aku tahu kalian semua merasa SIGMA 😂😂😂😂
65,BODO AMAT... Gua yang SIGMA 😂
66,Saya dahulu alpha. Namun bertambah usia semakin matang jadi sigma. Karena jadi alpha diumur dewasa kurang pas. Karena ego dan emosi sudah bisa di redam.
67,Percuma sigma kalo ga skibidi
68,Kadang sigma kadang Beta 🗿
69,Brarti gw delta.  Gw orangmya gamoang brubah klo udh di katain 😂😂😂
70,Apa yang dicari orang sigma.     Bintang skibidi wlkwwkwkwkwkwkwkkwkwkwkwkwkwkwkkwkwwkwkkwkwkwwkwkwkwkwkwkkwkwkwkwkwkwkwkwkkwwkwkkwkwkwkwkwkwkwkwkwkwwkkwkwkwkwkwkwkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkwkwkwkwk
71,Sigma adalah mewing juara skibidi sigma 😂
72,Setelah nonton ini gw langsung sigma bjir
73,sigma banget gw njir
74,Jagan lupa mewing ohayo rizz
75,Kalian pilih yang pake kerudung kalo aku pake kerudung warna merah karena cantik bingiiiiiiit🤭🤭🤭🤭🤭🤭🤭
76,aku suka bgt asma kak Yuki soalnya cantik sama imut apalagi kulitnya putih😊😊😊😊
77,Kak. Aku. Adreena. Aku. Pilih. Yang. Nomer.  1  soalnya. Cantik👍🏻🇮🇩💯🍧🎂🥳🌸🎀🩰👗💍👑👠📿💌
78,Ka yuki tetep semangat ngontennyah yah ka yuki aku suka sama kak yuki soalnyah lucu hehehe 😂tapi kak yuki udah sembuh belum yah kak 😢😢😢😢
79,"Pejabat= penjilat, kalo gak jilat atasan iya jilat yg viral, biar tetep eksis, itu menunjukkan betapa gak punya kemampuan sendiri cuma numpang viral😂"
80,Bro telah kehilangan auranya😢😢😢 dan muka si bro terlihat tertekan😢😢😢😢😢😢😢
81,"kan namanya indonesia kalo enggak begini ya bkn indonesia LOL lawak negara cinta tanah air padahal yg di cintai pemerintah hanya hal hal budaya,trend,SDA dan lain lain"
82,"Yg gini wajib dan wajar diviralkan..pacu jalur budaya yg bagus..pemprov harus merespon..jadi ikon wisata budaya, seru tuh..bagusin hotel/penginapan nya,wisata alamnya,supaya turis senang datang dan belanja..sambil berwisata"
83,anjay aura nya 999+
84,"Kemarin tung tung sahur mendunia, sekarang pacu jalur juga mendunia 😅 sungguh negeri yang sangat random ini 😑"
85,"Bocil kereeeeen 😎😎😎👍👍👍😍😍😍
Punya indonesia dong 😘😍💗💗💗💗💗"
86,"Gua gen z lahir 2003, dulu pas liat buku hidayah takut bgt anjir soalnya masih bocil pas itu"
87,"Sinetron Indosiar, Terdampar 😂. Sinetron paling absurd yang unexpectedly gw ikutin dari dia terdampar karena kecelakaan pesawat, sampe dajjal turun 😂😂😂"
88,"Ini saya sekalian bercerita yah, ini kejadian asli dari tempat tinggal ak tahun lalu di Ciams ada rumor ""ninja"" Jadi setiap jam 12 malem ada pria berbaju hitam membawa golok dia akan selalu mengetuk pintu tapi dia tidak masuk rumah tapi ada kumpulan pemuda yang membuka atau pintunya terbuka saya kurang tau, pokoknya beberapa dari Pemuda itu cedera, dan itu sangat sadis saya pun jadi takut, badan sang korban (si Pemuda yg d datangi ""ninja"" Itu) punggungnya banyak potongan goloknya dan sangat brutal. Dan sampai sekarang saya belum tau bagaimana soalnya gak ada pemberitahuan sang ""ninja"" Ini sudah di tangkap ato tidak"
89,"19:05 Ini teroris indonesia ni yg di jadiin meme stickernya ""Ga nanya dan ga peduli 😂"" + Ada bom lainnya juga"
90,"Klo di anime naruto namanya ""anbu"" yg melakukan tugas kotor untuk KONOHA dan klo di anime One Piece namanya ""chiperpol"" mereka melakukan semua tugas kotor demi kepentingan world goverment 😮"
91,"Seinget gw sih kasus aslinya satu kota kaya gitu gosong karna kebakaran, bukan alser🗿🗿"
92,China kayaknya banyak kerjasama dengan negara lain dah haahhaha 😂😂 cuman Amerika pura2 musuhan aja 😂😂 org covid juga mereka yg buat 😂😂
93,"Kurangin lah bang konten"" konspirasi kayak ngini soal nya masyarakat kita masi banyak ngak bisa bedain mana yg fakta mana yg cuma teory konspirasi"
94,"Ambarawa di yt : dijelasin detail banget 
Ambarawa di tiktok : di jadiin brainrot bejir"
95,"Apa mungkin video dan gambar antartika yg tertutup es adalah bagian kecil dari benua itu saja. Sehingga kita berpikir bahwa seluruh benua tertutup es. Padahal gak semua benua itu demikian. Masih ada bagian benua yg tdk tertutup es, atau bahkan ada peradaban atau suku terisolasi dari peradaban kita, cuman tdk di beberkan ke publik. Ini spt tanah arab d ekspos sbg gurun pasir, seolah tanah arab semua nya tertutup gurun pasir, atau indonesia di ekspos masih terdapat hutan lebat dan suku yg tinggal d hutan pedalaman, sehingga orang luar mengenal indonesia sbg negara yg tidak berkembang dan masih banyak suku primitif. Kesimpulan nya, minim nya informasi membuat orang lain atau bahkan kita memiliki kesimpulan yg tidak valid dan bahkan salah.
Hmm🤔"
96,Susah kalo dapat lawan yg jago gocek udah gitu lawan pakai madrid dimana mbappe speed sama gocekannya susah di counter sama bek
97,"bang works banget sumpah, temen aku kalah tadi, aku jadi jagoooo nais banget bangg anjinggg kerennn ❤❤"
98,"kerasa gaes sbg anak bawang klo nongkrong main pes, ngejar bola sebisa mungkin jangan r1 + x ,cukup manual aja mainin analog kiri ,lumayan ga kebobolan amat wkwk"
99,"dateng kesini mo ngalahin abang gw!! dendam pribadi ini, udah bener sh lebih suka yg dikatain diakhir video sama abangnya lebih suka ngandelin R1 kotak buat defend cuma kadang² suka fokus sama bola. pemain yg ada krusornya malah lari keluar lapangan 😭🤣"
100,saya masih maen PES 2013 di Pc..dan pemain2nya yg masih 2013...kadang pake 2010...😅😅😅
101,Saya lebih suka main wining eleven PS2 karena banyak kenangan nya 😢
102,Aq ga pengen dpat give away tapi aq kalau dsruh beli mau cuma harganya dmurahin donk ya bang hehee. Biar abangnya ga rugi2 bangET juga kan hehee. Soalnya aq dr dl pengen banget punya ps3 atau ps4 tapi belom kesampaian. Nabung dikit2 juga masih belom ckup2 hehee 😂😂😂
103,Gua sebelum ya main PS3 PES langsung pro main PS4 jir 🗿
104,"Gw salfok sama Build nya sama ada nama orang di MC yang namanya ""Thea_MBG""🗿"
105,"Mantab sih ank2 muda walo zaman udh modern .ni sangat2 gamer yang menyukai budaya dan litiatur di negrinya..
Jadi sangat2 pantas jika kamu memenangknya karna negara kita sangat indah 
Cuman thailand yg jdi pesaing sngat indah juga mereka pantas jadi ke 2 kalopun indo ga ada thailand jadi juara"
106,"Geloooo bangggggggg,lu gilaaaa bangettttttttt,congrats banggg"
107,"gg bangetttttt respect siii banggain indonesia banget, gila gila, gatau knapa kalo gw yang build pasti ga simetris sama berantakan"
108,"halo bang azrelon gw relvcraft disini gw pengen ramein video abangnya dan gw pke sedikit klip videonya buat mentahan editan konten gw 😊 karena ini menurut gw Kren bang sih, okey makasih ya bang moga di izinin ,dan congrats 🎉🎉"
109,"Gokill Gila banget udah ketemu mr beast teruss juara lgi, congrats bang 🤩🥳"
110,ga pernah sebangga ini jadi warga konoha😭gg bang sukses yaa🎉
111,"Bagus banget kalau aku boleh rating
1000000000000/1
Bagus banget masalahnyaaa😭😭😭
Terus bagus banget ngomong bahasa Englishnya.


CONGRAST For your build I like that, and that was so cool, 
Semoga di acara minecraft apa pun itu bang azre moga aja bisa ikutan lagiii, 
Kalau boleh aku tambahkan ya,
8:46  bagus bangettt detailnya itu lhoo, yang bikin aku ternganga😮
9:27 terus ini lagiii😭😭😭
Ini namanya generasi emas  minecraft

Semangat terus bang azre.
Aku selalu dukung bang azreee😊
Dimana pun kapan pun aku tetap dukung kok."
112,Indonesia 🎉🎉🎉🎉🎉🎉🎉🎉 Indonesia niboss senggoldong
113,"Siapa yang tahu di Medan banjir aku tahu di Medan banjir sampai tempat bensin di Ramayana kami penuh yang kasihan nengok Medan banjir ngumpul di sini 
👇
👇"
114,"I so much thank yoj from palestine, walaupun aku di sumatera barat tapi aku tidak terkena banjir dan palestine tetap ingat kita😢😢😭🥺🥹🥹🥹🥺😦😧😨😰😥😢😭😱😖😣😞😓😩🥺❤❤🎉❤🎉🎉😢"
115,"Terima kasih palestina walaupun negara mu juga sedang kesulitan semoga negara mu cepat pulih dan cepat merdeka free free palestine

Ya yg dibilang orang² luar sana yang bilang kalau palestina merdeka akan terjadi kiamat kami umat islam tidak peduli yang penting palestina merdeka apa kau mau palestina tersiksa dan.... Palestina yang sudah membantu kita begitukah kita membalasnya ?😢

""Bismillah, ya allah tolong lah saudara kami palestina merdekakan lah mereka dan lindungi mereka , aminn"" 🤲🏻😭😭💖😊 

#terimakasihpalestinaatas
Bantuannya
#semogacepatmerdeka"
116,💝❤️❤️‍🩹 aku juga doakan semoga Palestina cepat tidak diserang lagi amin 🤲🏻🤲🏻😿😿😥🥹🥹
117,"Terima  kasih   saudara  ku   walaupun   palestina   masih  ada  yang   terluka  tapi  kita  berdua  akan  menjadi  sahabat  di   dunia,  terus  terimakasih  palestina🥲🥲🥺😭"
118,"ga nyangka indonesia menang😭,terharu bangettt koo bisa sih aku aja gabakal bisa buatnya sebentar aja udah capek apalagi inii jirr"
119,Gelooo setelah di review se detail mungkin sii emangg engga heran kalo indonesia menang bahkan kalo mr beast liat ini semua scornya bakal 100000000000000000000000000000000000000000000000% ini mahh🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
120,"MENYALA ABANGKUH 🔥
btw gua gk bisa join 🥲"
121,GELOOOO BIARKAN MEREKA MEMASAK 🔥🔥🔥
122,"Gw kerasa ada yang aneh, trailer reward Terbaru ini kayak patah patah gak kayak dulu atau sebelumnya gitu, dan gw bukan merendah rendahkan karya anak bangsa, gw cuma ngerasa ada yang aneh dari trailer terbaru ini. Gitu doang"
123,"Anjayyy, let's gooooo, suka banget liat rewind, apa lagi tahun ini! Gila, cepet banget waktu ya?"
124,"um, apakah makhluk sana juga ada teori konspirasi tentang kita.. yaitu manusia? ya kalo aku sih bingung, mereka kuga mikirin kita ga ya? jadi kita sama2 kaget gitu tentang peradaban, peradaban mereka tau akan kita, dan kita tau akan peradaban mereka, dan seolah kita peradaban yg aneh bagi mereka dan peradaban mereka aneh bagi kita.. paham ga sih guys? aku tau tp gabisa menjelaskan nya..

edit : bisa jadi didalam sini ada yajuj & ma'juj.."
125,Aku yg lahir 4 November 1999 🗿 . Asem lah baru tau aku zzz
126,"Saya mau ikut nimbrung juga , disclaimer aku memberikan statement krn sesuatu yg aku pelajari ya ,mohon untuk menghargai 🙏. Aku anak pondok yg belajar beberapa hadist ,salah satunya Hadist besar yaitu Ibnu Majjah ,disana mempelajari tentang cerita2 masa lalu para Nabi dan sahabatnya ,nahhh.... Cerita ini hampir sama kyk Sahabat Nabi yang mana dia seorang nelayan namun di bawa oleh sesuatu saat sedang menjelajahi Bumi ,singkat cerita Nelayan ini kirim surat ke Sahabat Nabi ,dan Sahabat Nabi ngasih tau ke Nabi Muhammad SAW ,sehingga Nabi dalam Khutbah nya bercerita ,bahwa ada Sohabatnya itu sedang menjelajahi bumi namun di bawa ke sebuah pulau yang makhluk-makhluk nya tidak pernah diketahui manusia ,salah satunya makhluk penjaga yg berbulu lebat berwarna putih ,dia ngasih tau bahwa tuannya/master sedang menunggu anda di atas (disebuah gereja/bangunan ibadah jaman Yahudi) ,pas masuk ke dalam dia mendapati orang yang berbadan besar ,tubuhnya sudah di tutupi bulu namun sedang di rantai ,dia juga nanya tentang permukaan Bumi ,lalu menanyakan tentang ""siapa nabi sekarang? ,Apakah Nabi Muhammad sudah wafat? Dan pertanyaan2 lainnya"" ternyata makhluk itu adalah Dajjal ,mata nya ada 2 namun satunya sudah cacat. Nah kalo di sangkut pautin sama cerita di atas mungkin aku bisa berasumsi itu adalah Dajjal ,namun dia byk fitnah dan bohongnya ,sehingga terlihat seperti Tuhan yg baik hati dan prihatin terhadap kehidupan di dunia sekarang ,dia juga bisa mengabulkan sesuatu dengan kebohongan. Aku berasumsi dia ketemu Dajjal sih si pilotnya ,yg mana Amerika udh tau prediksi ke depannya seperti yg di ceritakan dalam Al Quran 💐. Sekian, saya tidak mengada2 ya ,ini sesuai apa yg saya mankul/pelajari di Ibnu Majjah (Hadist Besar Kutubusittah) dan ber-isnad"
127,"anjay bumi bentuk donat wkwk, berarti kita cuman toping awoakwok"
128,"teori konspirasi is real

semua agenda ""mereka"" pasti berjalan sesuai jadwal😆

masa pembersihan semakin dekat menuju agenda Total Control NWO 2050 yg akan dimulai ditahun 2030.. itu sebabnya pada kejar tayang percepatan teknologi yg semakin pesat.

so... KENCANGKAN SABUK PENGAMAN

😅😂"
129,"😂 mau bumi bulat atau datar, jika gw sebagai mukmin yg beriman, apakah gw saat ini harus percaya ke salah 1 pernyataan??, sulit jawab kan!, lalu kenapa dibahas di menurut lu itu msh merupakan hal GHOIB untuk lu semua dan lu blm sanggup investigasi?, klo mau adil tentang hal ghoib, coba bahas dan investigasi ""neraka dan syurga"" sj biar sekalian menambah kedekatan iman!

yg gw tekankan yaitu :

1. tidak usah membuat opini yg bs membuat org lain salah paham jika blm bs membuktikan, cukup untuk dirimu sendiri!

2. tidak perlu terlalu sibuk membuat perbincangan yg tidak perlu, krn guru besar kita itu adalah Rosullulloh, dan sahabatnya psti ada yg bertanya tntang mslh dunia.
 
3. kebanyakan org keturunan yahudi yg menantang kebenaran, jd tunggu aja hasilnya jika kamu tidak sanggup membuktikannya sendiri.

4. nikmati saja jika hanya mampu menikmati, jgn bertindak seperti berlebihan tanpa ilmu."
130,"Bumi aja belum tuntas malah sosoan mau ke mars, sosoan Nemu planet baru yg mirip bumi😅😂😂, sosoan mau pindah dari bumi😂😂😂....
Ketika orang percaya foto satelit ....ehh...malah ketemu kontent misteri tembok Antartika🤣🤣🤣...apa apaan ini"
131,"Sejauh ini,ini yang paling jauh🤯😂"
132,ya takut aja kalau rahasia yg dikubur ke bongkar. kalau ke bongkar yaa the monarch hancur dong. 😂 agama2 political udah bullshit semua. yg ada sekarang aja semua udah konspirasi.dikubur dalam2. dan yaa alasan kenapa emas itu bisa mahal kan jadi ke bongkar 😅
133,Cerita dri al'quran dan hadist yg wajib kita percyai... Krna d'jaman moderen skrng ajh gx ada yg mampu membuat suatu surat sperti Al'qur'an... Krna al'qur'an trun  lngsung dri tuhan umat manusia smua yaa itu allah...
134,"Prediksi The Simpsons piala dunia 2026 dan Portugal yg menang 😂.

 ada lagi prediksi the Simpsons, badai Matahari di tahun 2025 dan matinya internet.

Fix yg buat indigo 😂"
135,The Simpsons itu kayak apa ya prediksi nya tuh tepat bangett kaget bangett😮😮😅😅
136,wajar si sebab film ini emg di desain untuk bahas politik dan sosial ribuan episode wajar2 aja ada sikit kesamaan yg emg hoki  kebetulan ibarat main lotery tp klo semua episode 80% nya betul sama kejadian yg akan dtg bru mind blowing
137,"Saya pernah berbicara dengan yang sering membuat cerita2 AU dari idol2 fave author. ternyata cerita yg mereka buat, sering jadi kenyataan. Karena saat menulis au tersebut, mereka membayangkan dan merasakan dengan sungguh2, bagai terjadi di alam nyata. 

Maka saya pikir , the simpson pun sama, apalagi di visualisasikan menjadi kartun, maka lengkaplah sudah. Segala indra digunakan. Bukan hanya dr penulis saja, para penonton pun ikut andil mewujudkannya dalam kehidupan nyata. 

Konteksnya, ini berhubungan dengan powerfull nya kekuatan energi pikiran, vibrasi, apalagi ditambah rasa, serta frekuensi, maka untuk menjadi nyata kemungkinannya sangat tinggi. 

Ga aneh sih sebenernya"
138,Aku bocil super sus❤❤❤❤❤❤❤❤👍👍👍👏👏👏
139,Supersus dongg😎😎😎😎klo among us ga ad skin mahal🗿🗿
140,"Aku suka main super sus yang sama kumpul disini 
👇
👇
👇"
141,sebenernya ya super sus juga niru beberapa fitur game brawl stars kayak yang itu tu yang bola itu yang bisa didapetin dengan main itu niru starr drop dan juga skill epic dan apa itu gw lupa sih itu tiruan star power ama gear
142,bang bukan super sus meniru among us cuman super sus itu among us terbaru bang🗿 maaf ya kalau salah bang ✨🗿
143,Mantap timnas Indonesia senior tambah GACOR 💪
144,"Laga Matchday sebaiknya Indonesia minta Lawan Vietnam atau Philipina, pemain harus berani  beradu Fisik, soalanya Indonesia sdh bisa diperkuat Elkam bagot dan kawan kawan pemain  yg lain karena laga ini masuk agenda Fifa. Pemain liga BRI yg baik utk diNaturalusasi ""Yuran Pernandes""  Pemain PSM. Terus PSM buruan kontrak Jordi Amat jika ia belum mempunyai Club"
145,"Becanda boleh, tp jngan kagetin orng tua kalian demi konten. Iya kalo udh di setting, ibunya dksih tau dlu pura"" kget buat konten. Tp kalo emng sngaja ngagetin, hati"". Bnyak video candaan jd malapetaka."
146,Yg no 3 gk ngotak njirr... Copot noh jntung orng tua.. 😂😂😂
